date,average
1996-01-01,0.4
1996-01-02,0.5
1996-01-03,0.7
1996-01-04,0.75
1996-01-05,0.4
1996-01-06,0.3
1996-01-07,0.4
1996-01-08,0.3
1996-01-09,0.1
1996-01-10,0.1
1996-01-11,0.1
1996-01-12,0.05
1996-01-13,0.1
1996-01-14,0.05
1996-01-15,0.05
1996-01-16,0.3
1996-01-17,0.45
1996-01-18,0.25
1996-01-19,0.05
1996-01-20,0.35
1996-01-21,0.9
1996-01-22,0.8
1996-01-23,0.85
1996-01-24,1.0
1996-01-25,0.45
1996-01-26,0.25
1996-01-27,0.05
1996-01-28,0.75
1996-01-29,2.95
1996-01-30,3.9
1996-01-31,3.1
1996-02-01,4.2
1996-02-02,4.25
1996-02-03,3.45
1996-02-04,4.2
1996-02-05,3.75
1996-02-06,4.05
1996-02-07,3.15
1996-02-08,3.4
1996-02-09,2.65
1996-02-10,3.1
1996-02-11,2.35
1996-02-12,2.1
1996-02-13,1.85
1996-02-14,2.9
1996-02-15,3.0
1996-02-16,3.0
1996-02-17,1.7
1996-02-18,1.9
1996-02-19,2.9
1996-02-20,4.2
1996-02-21,5.35
1996-02-22,6.7
1996-02-23,6.1
1996-02-24,4.0
1996-02-25,4.75
1996-02-26,3.45
1996-02-27,3.65
1996-02-28,3.75
1996-02-29,3.15
1996-03-01,3.4
1996-03-02,4.05
1996-03-03,4.65
1996-03-04,5.05
1996-03-05,5.25
1996-03-06,4.95
1996-03-07,4.6
1996-03-08,3.5
1996-03-09,3.1
1996-03-10,2.5
1996-03-11,2.65
1996-03-12,2.7
1996-03-13,3.15
1996-03-14,2.55
1996-03-15,2.9
1996-03-16,2.8
1996-03-17,3.0
1996-03-18,3.15
1996-03-19,3.65
1996-03-20,3.25
1996-03-21,3.05
1996-03-22,3.5
1996-03-23,3.25
1996-03-24,3.15
1996-03-25,3.4
1996-03-26,4.05
1996-03-27,3.55
1996-03-28,3.5
1996-03-29,3.2
1996-03-30,4.15
1996-03-31,5.0
1996-04-01,5.7
1996-04-02,5.5
1996-04-03,5.75
1996-04-04,6.8
1996-04-05,7.6
1996-04-06,8.55
1996-04-07,8.0
1996-04-08,6.95
1996-04-09,6.0
1996-04-10,5.95
1996-04-11,5.4
1996-04-12,5.4
1996-04-13,5.5
1996-04-14,6.8
1996-04-15,6.4
1996-04-16,6.5
1996-04-17,7.05
1996-04-18,7.05
1996-04-19,6.25
1996-04-20,5.2
1996-04-21,5.95
1996-04-22,5.55
1996-04-23,5.15
1996-04-24,5.1
1996-04-25,5.45
1996-04-26,5.85
1996-04-27,6.25
1996-04-28,5.45
1996-04-29,5.8
1996-04-30,4.75
1996-05-01,4.35
1996-05-02,3.9
1996-05-03,4.3
1996-05-04,3.95
1996-05-05,4.35
1996-05-06,4.45
1996-05-07,4.0
1996-05-08,3.45
1996-05-09,2.9
1996-05-10,3.6
1996-05-11,3.9
1996-05-12,3.9
1996-05-13,4.55
1996-05-14,4.5
1996-05-15,3.5
1996-05-16,3.05
1996-05-17,2.2
1996-05-18,2.05
1996-05-19,1.5
1996-05-20,0.9
1996-05-21,0.85
1996-05-22,0.45
1996-05-23,0.6
1996-05-24,0.75
1996-05-25,1.4
1996-05-26,2.4
1996-05-27,2.75
1996-05-28,3.8
1996-05-29,4.55
1996-05-30,4.5
1996-05-31,3.1
1996-06-01,2.5
1996-06-02,2.35
1996-06-03,2.4
1996-06-04,2.45
1996-06-05,1.5
1996-06-06,1.0
1996-06-07,0.65
1996-06-08,0.7
1996-06-09,0.65
1996-06-10,0.65
1996-06-11,0.7
1996-06-12,0.65
1996-06-13,0.65
1996-06-14,0.5
